	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
269	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808017.CEL
270	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811025.CEL
271	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811026.CEL
272	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811027.CEL
273	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814027.CEL
274	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814028.CEL
275	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814029.CEL
276	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804024.CEL
277	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804025.CEL
278	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804026.CEL
279	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808018.CEL
280	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808019.CEL
281	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808020.CEL
282	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811028.CEL
283	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811029.CEL
284	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811030.CEL
285	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017814030.CEL
286	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815001.CEL
287	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815002.CEL
288	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	2	hour	003017705030.CEL
289	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	2	hour	003017706001.CEL
290	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	8	hour	003017706008.CEL
291	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	8	hour	003017706009.CEL
292	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706015.CEL
293	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706016.CEL
294	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	2	hour	003017706002.CEL
295	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	2	hour	003017706003.CEL
296	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	8	hour	003017706010.CEL
297	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	8	hour	003017716010.CEL
298	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	24	hour	003017706017.CEL
299	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	24	hour	003017706018.CEL
300	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	2	hour	003017706004.CEL
301	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	2	hour	003017706005.CEL
302	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	8	hour	003017706011.CEL
303	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	8	hour	003017706012.CEL
304	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	24	hour	003017706019.CEL
305	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	24	hour	003017706020.CEL
306	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	2	hour	003017706006.CEL
307	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	2	hour	003017706007.CEL
308	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	8	hour	003017706013.CEL
309	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	8	hour	003017706014.CEL
310	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706021.CEL
311	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706022.CEL
612	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	2	hour	003016028022.CEL
613	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	2	hour	003016028023.CEL
614	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	8	hour	003016028030.CEL
615	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	8	hour	003016029001.CEL
616	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	24	hour	003016029008.CEL
617	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	24	hour	003016029009.CEL
618	hepatocyte	Homo sapiens	allopurinol	Low	05.cze	micromolar	2	hour	003016028024.CEL
619	hepatocyte	Homo sapiens	allopurinol	Low	05.cze	micromolar	2	hour	003016028025.CEL
620	hepatocyte	Homo sapiens	allopurinol	Low	05.cze	micromolar	8	hour	003016029002.CEL
621	hepatocyte	Homo sapiens	allopurinol	Low	05.cze	micromolar	8	hour	003016029003.CEL
622	hepatocyte	Homo sapiens	allopurinol	Low	05.cze	micromolar	24	hour	003016029010.CEL
623	hepatocyte	Homo sapiens	allopurinol	Low	05.cze	micromolar	24	hour	003016029011.CEL
624	hepatocyte	Homo sapiens	allopurinol	Middle	28	micromolar	2	hour	003016028026.CEL
625	hepatocyte	Homo sapiens	allopurinol	Middle	28	micromolar	2	hour	003016028027.CEL
626	hepatocyte	Homo sapiens	allopurinol	Middle	28	micromolar	8	hour	003016029004.CEL
627	hepatocyte	Homo sapiens	allopurinol	Middle	28	micromolar	8	hour	003016029005.CEL
628	hepatocyte	Homo sapiens	allopurinol	Middle	28	micromolar	24	hour	003016029012.CEL
629	hepatocyte	Homo sapiens	allopurinol	Middle	28	micromolar	24	hour	003016029013.CEL
630	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	2	hour	003016028028.CEL
631	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	2	hour	003016028029.CEL
632	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	8	hour	003016029006.CEL
633	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	8	hour	003016029007.CEL
634	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	24	hour	003016029014.CEL
635	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	24	hour	003016029015.CEL
636	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	3	hour	003017694019.CEL
637	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	3	hour	003017694021.CEL
638	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	3	hour	003017694022.CEL
639	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	6	hour	003017695002.CEL
640	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	6	hour	003017695003.CEL
641	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	6	hour	003017695004.CEL
642	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	9	hour	003017693026.CEL
643	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	9	hour	003017693027.CEL
644	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	9	hour	003017693028.CEL
645	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017694008.CEL
646	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017694009.CEL
647	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017694010.CEL
648	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	3	hour	003017694023.CEL
649	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	3	hour	003017694024.CEL
650	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	3	hour	003017694025.CEL
651	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	6	hour	003017695005.CEL
652	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	6	hour	003017695006.CEL
653	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	6	hour	003017695007.CEL
654	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	9	hour	003017693029.CEL
655	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	9	hour	003017693030.CEL
656	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	9	hour	003017694001.CEL
657	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	24	hour	003017694011.CEL
658	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	24	hour	003017694012.CEL
659	liver	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	24	hour	003017694013.CEL
660	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	3	hour	003017694026.CEL
661	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	3	hour	003017694027.CEL
662	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	3	hour	003017694028.CEL
663	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	6	hour	003017695008.CEL
664	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	6	hour	003017695009.CEL
665	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	6	hour	003017695010.CEL
666	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	9	hour	003017694002.CEL
667	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	9	hour	003017694003.CEL
668	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	9	hour	003017694004.CEL
669	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	24	hour	003017694014.CEL
670	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	24	hour	003017694015.CEL
671	liver	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	24	hour	003017694016.CEL
672	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	3	hour	003017694029.CEL
673	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	3	hour	003017694030.CEL
674	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	3	hour	003017695001.CEL
675	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	6	hour	003017695011.CEL
676	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	6	hour	003017695012.CEL
677	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	6	hour	003017695013.CEL
678	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	9	hour	003017694005.CEL
679	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	9	hour	003017694006.CEL
680	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	9	hour	003017694007.CEL
681	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017694017.CEL
682	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017694018.CEL
683	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017694020.CEL
684	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	3	hour	003017797011.CEL
685	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	3	hour	003017797012.CEL
686	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	3	hour	003017797013.CEL
687	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	6	hour	003017797023.CEL
688	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	6	hour	003017797024.CEL
689	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	6	hour	003017797025.CEL
690	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	9	hour	003017800015.CEL
691	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	9	hour	003017800016.CEL
692	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	9	hour	003017800017.CEL
693	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017800027.CEL
694	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017800028.CEL
695	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017800029.CEL
696	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	3	hour	003017797014.CEL
697	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	3	hour	003017797015.CEL
698	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	3	hour	003017797016.CEL
699	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	6	hour	003017797026.CEL
700	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	6	hour	003017797027.CEL
701	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	6	hour	003017797028.CEL
702	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	9	hour	003017800018.CEL
703	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	9	hour	003017800019.CEL
704	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	9	hour	003017800020.CEL
705	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	24	hour	003017800030.CEL
706	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	24	hour	003017801001.CEL
707	kidney	Rattus norvegicus	allopurinol	Low	15	milligram per kilogram	24	hour	003017801002.CEL
708	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	3	hour	003017797017.CEL
709	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	3	hour	003017797018.CEL
710	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	3	hour	003017797019.CEL
711	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	6	hour	003017797029.CEL
712	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	6	hour	003017797030.CEL
713	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	6	hour	003017798001.CEL
714	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	9	hour	003017800021.CEL
715	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	9	hour	003017800022.CEL
716	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	9	hour	003017800023.CEL
717	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	24	hour	003017801003.CEL
718	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	24	hour	003017801004.CEL
719	kidney	Rattus norvegicus	allopurinol	Middle	50	milligram per kilogram	24	hour	003017801005.CEL
720	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	3	hour	003017797020.CEL
721	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	3	hour	003017797021.CEL
722	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	3	hour	003017797022.CEL
723	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	6	hour	003017798002.CEL
724	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	6	hour	003017798003.CEL
725	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	6	hour	003017798004.CEL
726	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	9	hour	003017800024.CEL
727	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	9	hour	003017800025.CEL
728	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	9	hour	003017800026.CEL
729	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017801006.CEL
730	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017801007.CEL
731	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017801008.CEL
732	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	2	hour	003017068007.CEL
733	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	2	hour	003017068008.CEL
734	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	8	hour	003017068015.CEL
735	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	8	hour	003017068016.CEL
736	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	24	hour	003017068023.CEL
737	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	24	hour	003017068024.CEL
738	hepatocyte	Rattus norvegicus	allopurinol	Low	05.cze	micromolar	2	hour	003017068009.CEL
739	hepatocyte	Rattus norvegicus	allopurinol	Low	05.cze	micromolar	2	hour	003017068010.CEL
740	hepatocyte	Rattus norvegicus	allopurinol	Low	05.cze	micromolar	8	hour	003017068017.CEL
741	hepatocyte	Rattus norvegicus	allopurinol	Low	05.cze	micromolar	8	hour	003017068018.CEL
742	hepatocyte	Rattus norvegicus	allopurinol	Low	05.cze	micromolar	24	hour	003017068025.CEL
743	hepatocyte	Rattus norvegicus	allopurinol	Low	05.cze	micromolar	24	hour	003017068026.CEL
