	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
269	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808017.CEL
270	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811025.CEL
271	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811026.CEL
272	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811027.CEL
273	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814027.CEL
274	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814028.CEL
275	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814029.CEL
276	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804024.CEL
277	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804025.CEL
278	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804026.CEL
279	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808018.CEL
280	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808019.CEL
281	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808020.CEL
282	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811028.CEL
283	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811029.CEL
284	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811030.CEL
285	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017814030.CEL
286	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815001.CEL
287	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815002.CEL
288	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	2	hour	003017705030.CEL
289	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	2	hour	003017706001.CEL
290	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	8	hour	003017706008.CEL
291	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	8	hour	003017706009.CEL
292	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706015.CEL
293	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706016.CEL
294	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	2	hour	003017706002.CEL
295	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	2	hour	003017706003.CEL
296	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	8	hour	003017706010.CEL
297	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	8	hour	003017716010.CEL
298	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	24	hour	003017706017.CEL
299	hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	24	hour	003017706018.CEL
300	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	2	hour	003017706004.CEL
301	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	2	hour	003017706005.CEL
302	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	8	hour	003017706011.CEL
303	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	8	hour	003017706012.CEL
304	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	24	hour	003017706019.CEL
305	hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	24	hour	003017706020.CEL
306	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	2	hour	003017706006.CEL
307	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	2	hour	003017706007.CEL
308	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	8	hour	003017706013.CEL
309	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	8	hour	003017706014.CEL
310	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706021.CEL
311	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706022.CEL
312	hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	8	hour	003016074030.CEL
313	hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	8	hour	003016075001.CEL
314	hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	24	hour	003016075006.CEL
315	hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	24	hour	003016075007.CEL
316	hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	8	hour	003016075002.CEL
317	hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	8	hour	003016075003.CEL
318	hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	24	hour	003016075008.CEL
319	hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	24	hour	003016075009.CEL
320	hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	8	hour	003016075004.CEL
321	hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	8	hour	003016075005.CEL
322	hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	24	hour	003016075010.CEL
323	hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	24	hour	003016075011.CEL
324	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017262026.CEL
325	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017262027.CEL
326	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017262028.CEL
327	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017263008.CEL
328	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017263009.CEL
329	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017263010.CEL
330	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017262003.CEL
331	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017262004.CEL
332	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017296020.CEL
333	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262014.CEL
334	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262015.CEL
335	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262016.CEL
336	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017262029.CEL
337	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017262030.CEL
338	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017263001.CEL
339	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017263011.CEL
340	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017263012.CEL
341	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017263013.CEL
342	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017262005.CEL
343	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017262006.CEL
344	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017296021.CEL
345	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017262017.CEL
346	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017262018.CEL
347	liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017262019.CEL
348	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017263002.CEL
349	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017263003.CEL
350	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017263004.CEL
351	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017263014.CEL
352	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017263015.CEL
353	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017263016.CEL
354	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017296022.CEL
355	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017296023.CEL
356	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017296024.CEL
357	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017262020.CEL
358	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017262021.CEL
359	liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017262022.CEL
360	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017263005.CEL
361	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017263006.CEL
362	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017263007.CEL
363	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017263017.CEL
364	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017263018.CEL
365	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017263019.CEL
366	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017262011.CEL
367	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017262012.CEL
368	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017262013.CEL
369	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262023.CEL
370	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262024.CEL
371	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262025.CEL
372	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017782018.CEL
373	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017782019.CEL
374	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017782020.CEL
375	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017782030.CEL
376	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017783001.CEL
377	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017783002.CEL
378	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017784030.CEL
379	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017785001.CEL
380	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017785002.CEL
381	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785012.CEL
382	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785013.CEL
383	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785014.CEL
384	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017782021.CEL
385	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017782022.CEL
386	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017782023.CEL
387	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017783003.CEL
388	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017783004.CEL
389	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017783005.CEL
390	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017785003.CEL
391	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017785004.CEL
392	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017785005.CEL
393	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017785015.CEL
394	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017785016.CEL
395	kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017785017.CEL
396	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017782024.CEL
397	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017782025.CEL
398	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017782026.CEL
399	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017783006.CEL
400	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017783007.CEL
401	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017783008.CEL
402	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017785006.CEL
403	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017785007.CEL
404	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017785008.CEL
405	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017785018.CEL
406	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017785019.CEL
407	kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017785020.CEL
408	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017782027.CEL
409	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017782028.CEL
410	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017782029.CEL
411	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017783009.CEL
412	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017783010.CEL
413	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017783011.CEL
414	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017785009.CEL
415	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017785010.CEL
416	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017785011.CEL
417	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785021.CEL
418	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785022.CEL
419	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785023.CEL
420	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	2	hour	003017333003.CEL
421	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	2	hour	003017333004.CEL
422	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	8	hour	003017333011.CEL
423	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	8	hour	003017333012.CEL
424	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	24	hour	003017333019.CEL
425	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	24	hour	003017333020.CEL
426	hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	2	hour	003017333005.CEL
427	hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	2	hour	003017333006.CEL
428	hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	8	hour	003017333013.CEL
429	hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	8	hour	003017333014.CEL
430	hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	24	hour	003017333021.CEL
431	hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	24	hour	003017333022.CEL
432	hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	2	hour	003017333007.CEL
433	hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	2	hour	003017333008.CEL
434	hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	8	hour	003017333015.CEL
435	hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	8	hour	003017333016.CEL
436	hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	24	hour	003017333023.CEL
437	hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	24	hour	003017333024.CEL
438	hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	2	hour	003017333009.CEL
439	hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	2	hour	003017333010.CEL
440	hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	8	hour	003017333017.CEL
