	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
149	hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	24	hour	003017362022.CEL
166	hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	24	hour	003017362027.CEL
167	hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	24	hour	003017362028.CEL
172	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	24	hour	003016016017.CEL
173	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	24	hour	003016016018.CEL
190	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	24	hour	003016016023.CEL
191	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	24	hour	003016016024.CEL
201	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645024.CEL
202	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645025.CEL
203	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645026.CEL
237	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646003.CEL
238	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646004.CEL
239	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646005.CEL
249	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814021.CEL
250	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814022.CEL
251	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814023.CEL
285	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017814030.CEL
286	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815001.CEL
287	kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815002.CEL
292	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706015.CEL
293	hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706016.CEL
310	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706021.CEL
311	hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706022.CEL
314	hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	24	hour	003016075006.CEL
315	hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	24	hour	003016075007.CEL
322	hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	24	hour	003016075010.CEL
323	hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	24	hour	003016075011.CEL
333	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262014.CEL
334	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262015.CEL
335	liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262016.CEL
369	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262023.CEL
370	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262024.CEL
371	liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262025.CEL
381	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785012.CEL
382	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785013.CEL
383	kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785014.CEL
417	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785021.CEL
418	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785022.CEL
419	kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785023.CEL
424	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	24	hour	003017333019.CEL
425	hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	24	hour	003017333020.CEL
442	hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	24	hour	003017333025.CEL
443	hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	24	hour	003017333026.CEL
448	hepatocyte	Homo sapiens	adapin	Control	0	micromolar	24	hour	003016047007.CEL
449	hepatocyte	Homo sapiens	adapin	Control	0	micromolar	24	hour	003016047008.CEL
466	hepatocyte	Homo sapiens	adapin	High	75	micromolar	24	hour	003016047013.CEL
467	hepatocyte	Homo sapiens	adapin	High	75	micromolar	24	hour	003016047014.CEL
477	liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	24	hour	003017612010.CEL
478	liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	24	hour	003017612011.CEL
479	liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	24	hour	003017612012.CEL
508	hepatocyte	Rattus norvegicus	adapin	Control	0	micromolar	24	hour	003017115017.CEL
509	hepatocyte	Rattus norvegicus	adapin	Control	0	micromolar	24	hour	003017115018.CEL
526	hepatocyte	Rattus norvegicus	adapin	High	75	micromolar	24	hour	003017115023.CEL
527	hepatocyte	Rattus norvegicus	adapin	High	75	micromolar	24	hour	003017115024.CEL
530	hepatocyte	Homo sapiens	ajmaline	Control	0	micromolar	24	hour	003016088001.CEL
531	hepatocyte	Homo sapiens	ajmaline	Control	0	micromolar	24	hour	003016088002.CEL
538	hepatocyte	Homo sapiens	ajmaline	High	300	micromolar	24	hour	003016088005.CEL
539	hepatocyte	Homo sapiens	ajmaline	High	300	micromolar	24	hour	003016088006.CEL
549	liver	Rattus norvegicus	ajmaline	Control	0	milligram per kilogram	24	hour	003017538003.CEL
550	liver	Rattus norvegicus	ajmaline	Control	0	milligram per kilogram	24	hour	003017538004.CEL
551	liver	Rattus norvegicus	ajmaline	Control	0	milligram per kilogram	24	hour	003017538005.CEL
585	liver	Rattus norvegicus	ajmaline	High	300	milligram per kilogram	24	hour	003017538012.CEL
586	liver	Rattus norvegicus	ajmaline	High	300	milligram per kilogram	24	hour	003017538013.CEL
587	liver	Rattus norvegicus	ajmaline	High	300	milligram per kilogram	24	hour	003017538014.CEL
592	hepatocyte	Rattus norvegicus	ajmaline	Control	0	micromolar	24	hour	003017347015.CEL
593	hepatocyte	Rattus norvegicus	ajmaline	Control	0	micromolar	24	hour	003017347016.CEL
610	hepatocyte	Rattus norvegicus	ajmaline	High	300	micromolar	24	hour	003017347021.CEL
611	hepatocyte	Rattus norvegicus	ajmaline	High	300	micromolar	24	hour	003017347022.CEL
616	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	24	hour	003016029008.CEL
617	hepatocyte	Homo sapiens	allopurinol	Control	0	micromolar	24	hour	003016029009.CEL
634	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	24	hour	003016029014.CEL
635	hepatocyte	Homo sapiens	allopurinol	High	140	micromolar	24	hour	003016029015.CEL
645	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017694008.CEL
646	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017694009.CEL
647	liver	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017694010.CEL
681	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017694017.CEL
682	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017694018.CEL
683	liver	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017694020.CEL
693	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017800027.CEL
694	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017800028.CEL
695	kidney	Rattus norvegicus	allopurinol	Control	0	milligram per kilogram	24	hour	003017800029.CEL
729	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017801006.CEL
730	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017801007.CEL
731	kidney	Rattus norvegicus	allopurinol	High	150	milligram per kilogram	24	hour	003017801008.CEL
736	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	24	hour	003017068023.CEL
737	hepatocyte	Rattus norvegicus	allopurinol	Control	0	micromolar	24	hour	003017068024.CEL
754	hepatocyte	Rattus norvegicus	allopurinol	High	140	micromolar	24	hour	003017068029.CEL
755	hepatocyte	Rattus norvegicus	allopurinol	High	140	micromolar	24	hour	003017068030.CEL
760	hepatocyte	Homo sapiens	allyl alcohol	Control	0	micromolar	24	hour	003016037010.CEL
761	hepatocyte	Homo sapiens	allyl alcohol	Control	0	micromolar	24	hour	003016037011.CEL
778	hepatocyte	Homo sapiens	allyl alcohol	High	70	micromolar	24	hour	003016037016.CEL
779	hepatocyte	Homo sapiens	allyl alcohol	High	70	micromolar	24	hour	003016037017.CEL
789	liver	Rattus norvegicus	allyl alcohol	Control	0	milligram per kilogram	24	hour	003017673029.CEL
790	liver	Rattus norvegicus	allyl alcohol	Control	0	milligram per kilogram	24	hour	003017673030.CEL
791	liver	Rattus norvegicus	allyl alcohol	Control	0	milligram per kilogram	24	hour	003017674001.CEL
825	liver	Rattus norvegicus	allyl alcohol	High	30	milligram per kilogram	24	hour	003017674008.CEL
826	liver	Rattus norvegicus	allyl alcohol	High	30	milligram per kilogram	24	hour	003017674009.CEL
827	liver	Rattus norvegicus	allyl alcohol	High	30	milligram per kilogram	24	hour	003017674010.CEL
837	kidney	Rattus norvegicus	allyl alcohol	Control	0	milligram per kilogram	24	hour	003017842030.CEL
838	kidney	Rattus norvegicus	allyl alcohol	Control	0	milligram per kilogram	24	hour	003017843001.CEL
839	kidney	Rattus norvegicus	allyl alcohol	Control	0	milligram per kilogram	24	hour	003017843002.CEL
873	kidney	Rattus norvegicus	allyl alcohol	High	30	milligram per kilogram	24	hour	003017843009.CEL
874	kidney	Rattus norvegicus	allyl alcohol	High	30	milligram per kilogram	24	hour	003017843010.CEL
875	kidney	Rattus norvegicus	allyl alcohol	High	30	milligram per kilogram	24	hour	003017843011.CEL
880	hepatocyte	Rattus norvegicus	allyl alcohol	Control	0	micromolar	24	hour	003017022018.CEL
881	hepatocyte	Rattus norvegicus	allyl alcohol	Control	0	micromolar	24	hour	003017022019.CEL
898	hepatocyte	Rattus norvegicus	allyl alcohol	High	20	micromolar	24	hour	003017022024.CEL
899	hepatocyte	Rattus norvegicus	allyl alcohol	High	20	micromolar	24	hour	003017022025.CEL
904	hepatocyte	Homo sapiens	amiodarone	Control	0	micromolar	24	hour	003016028014.CEL
905	hepatocyte	Homo sapiens	amiodarone	Control	0	micromolar	24	hour	003016028015.CEL
922	hepatocyte	Homo sapiens	amiodarone	High	7	micromolar	24	hour	003016028020.CEL
923	hepatocyte	Homo sapiens	amiodarone	High	7	micromolar	24	hour	003016028021.CEL
933	liver	Rattus norvegicus	amiodarone	Control	0	milligram per kilogram	24	hour	003017633013.CEL
934	liver	Rattus norvegicus	amiodarone	Control	0	milligram per kilogram	24	hour	003017633014.CEL
935	liver	Rattus norvegicus	amiodarone	Control	0	milligram per kilogram	24	hour	003017633015.CEL
969	liver	Rattus norvegicus	amiodarone	High	2000	milligram per kilogram	24	hour	003017633022.CEL
970	liver	Rattus norvegicus	amiodarone	High	2000	milligram per kilogram	24	hour	003017633023.CEL
971	liver	Rattus norvegicus	amiodarone	High	2000	milligram per kilogram	24	hour	003017633024.CEL
976	hepatocyte	Rattus norvegicus	amiodarone	Control	0	micromolar	24	hour	003017078012.CEL
977	hepatocyte	Rattus norvegicus	amiodarone	Control	0	micromolar	24	hour	003017078013.CEL
994	hepatocyte	Rattus norvegicus	amiodarone	High	7	micromolar	24	hour	003017078018.CEL
995	hepatocyte	Rattus norvegicus	amiodarone	High	7	micromolar	24	hour	003017078019.CEL
998	hepatocyte	Homo sapiens	amitriptyline	Control	0	micromolar	24	hour	003016065026.CEL
999	hepatocyte	Homo sapiens	amitriptyline	Control	0	micromolar	24	hour	003016065027.CEL
1006	hepatocyte	Homo sapiens	amitriptyline	High	15	micromolar	24	hour	003016065030.CEL
1007	hepatocyte	Homo sapiens	amitriptyline	High	15	micromolar	24	hour	003016066001.CEL
1017	liver	Rattus norvegicus	amitriptyline	Control	0	milligram per kilogram	24	hour	003017161030.CEL
1018	liver	Rattus norvegicus	amitriptyline	Control	0	milligram per kilogram	24	hour	003017162025.CEL
1019	liver	Rattus norvegicus	amitriptyline	Control	0	milligram per kilogram	24	hour	003017162026.CEL
1053	liver	Rattus norvegicus	amitriptyline	High	150	milligram per kilogram	24	hour	003017163003.CEL
1054	liver	Rattus norvegicus	amitriptyline	High	150	milligram per kilogram	24	hour	003017163004.CEL
1055	liver	Rattus norvegicus	amitriptyline	High	150	milligram per kilogram	24	hour	003017163005.CEL
1060	hepatocyte	Rattus norvegicus	amitriptyline	Control	0	micromolar	24	hour	003017235016.CEL
1061	hepatocyte	Rattus norvegicus	amitriptyline	Control	0	micromolar	24	hour	003017235017.CEL
1078	hepatocyte	Rattus norvegicus	amitriptyline	High	60	micromolar	24	hour	003017235022.CEL
1079	hepatocyte	Rattus norvegicus	amitriptyline	High	60	micromolar	24	hour	003017235023.CEL
1084	hepatocyte	Homo sapiens	aspirin	Control	0	micromolar	24	hour	003016025005.CEL
1085	hepatocyte	Homo sapiens	aspirin	Control	0	micromolar	24	hour	003016025006.CEL
1102	hepatocyte	Homo sapiens	aspirin	High	3000	micromolar	24	hour	003016025011.CEL
1103	hepatocyte	Homo sapiens	aspirin	High	3000	micromolar	24	hour	003016025012.CEL
1113	liver	Rattus norvegicus	aspirin	Control	0	milligram per kilogram	24	hour	003017635013.CEL
1114	liver	Rattus norvegicus	aspirin	Control	0	milligram per kilogram	24	hour	003017635014.CEL
1115	liver	Rattus norvegicus	aspirin	Control	0	milligram per kilogram	24	hour	003017635015.CEL
1149	liver	Rattus norvegicus	aspirin	High	2000	milligram per kilogram	24	hour	003017636005.CEL
1150	liver	Rattus norvegicus	aspirin	High	2000	milligram per kilogram	24	hour	003017636006.CEL
1151	liver	Rattus norvegicus	aspirin	High	2000	milligram per kilogram	24	hour	003017659003.CEL
1156	hepatocyte	Rattus norvegicus	aspirin	Control	0	micromolar	24	hour	003017029014.CEL
1157	hepatocyte	Rattus norvegicus	aspirin	Control	0	micromolar	24	hour	003017029015.CEL
1174	hepatocyte	Rattus norvegicus	aspirin	High	3000	micromolar	24	hour	003017029020.CEL
1175	hepatocyte	Rattus norvegicus	aspirin	High	3000	micromolar	24	hour	003017029021.CEL
1180	hepatocyte	Homo sapiens	azathioprine	Control	0	micromolar	24	hour	003016044025.CEL
1181	hepatocyte	Homo sapiens	azathioprine	Control	0	micromolar	24	hour	003016044026.CEL
1198	hepatocyte	Homo sapiens	azathioprine	High	72.8	micromolar	24	hour	003016045001.CEL
1199	hepatocyte	Homo sapiens	azathioprine	High	72.8	micromolar	24	hour	003016045002.CEL
1209	liver	Rattus norvegicus	azathioprine	Control	0	milligram per kilogram	24	hour	003017705018.CEL
1210	liver	Rattus norvegicus	azathioprine	Control	0	milligram per kilogram	24	hour	003017705019.CEL
1211	liver	Rattus norvegicus	azathioprine	Control	0	milligram per kilogram	24	hour	003017705020.CEL
1245	liver	Rattus norvegicus	azathioprine	High	30	milligram per kilogram	24	hour	003017705027.CEL
1246	liver	Rattus norvegicus	azathioprine	High	30	milligram per kilogram	24	hour	003017705028.CEL
1247	liver	Rattus norvegicus	azathioprine	High	30	milligram per kilogram	24	hour	003017705029.CEL
1252	hepatocyte	Rattus norvegicus	azathioprine	Control	0	micromolar	24	hour	003017147018.CEL
1253	hepatocyte	Rattus norvegicus	azathioprine	Control	0	micromolar	24	hour	003017147019.CEL
1270	hepatocyte	Rattus norvegicus	azathioprine	High	03.cze	micromolar	24	hour	003017147024.CEL
1271	hepatocyte	Rattus norvegicus	azathioprine	High	03.cze	micromolar	24	hour	003017147025.CEL
1348	hepatocyte	Homo sapiens	benzbromarone	Control	0	micromolar	24	hour	003016030002.CEL
1349	hepatocyte	Homo sapiens	benzbromarone	Control	0	micromolar	24	hour	003016030003.CEL
1366	hepatocyte	Homo sapiens	benzbromarone	High	100	micromolar	24	hour	003016030008.CEL
1367	hepatocyte	Homo sapiens	benzbromarone	High	100	micromolar	24	hour	003016030009.CEL
1377	liver	Rattus norvegicus	benzbromarone	Control	0	milligram per kilogram	24	hour	003017681029.CEL
1378	liver	Rattus norvegicus	benzbromarone	Control	0	milligram per kilogram	24	hour	003017681030.CEL
1379	liver	Rattus norvegicus	benzbromarone	Control	0	milligram per kilogram	24	hour	003017682001.CEL
1413	liver	Rattus norvegicus	benzbromarone	High	200	milligram per kilogram	24	hour	003017682008.CEL
1414	liver	Rattus norvegicus	benzbromarone	High	200	milligram per kilogram	24	hour	003017682009.CEL
1415	liver	Rattus norvegicus	benzbromarone	High	200	milligram per kilogram	24	hour	003017682010.CEL
1420	hepatocyte	Rattus norvegicus	benzbromarone	Control	0	micromolar	24	hour	003017136017.CEL
1421	hepatocyte	Rattus norvegicus	benzbromarone	Control	0	micromolar	24	hour	003017136018.CEL
1438	hepatocyte	Rattus norvegicus	benzbromarone	High	15	micromolar	24	hour	003017136023.CEL
1439	hepatocyte	Rattus norvegicus	benzbromarone	High	15	micromolar	24	hour	003017136024.CEL
1442	hepatocyte	Homo sapiens	benziodarone	Control	0	micromolar	24	hour	003016080009.CEL
1443	hepatocyte	Homo sapiens	benziodarone	Control	0	micromolar	24	hour	003016080010.CEL
1450	hepatocyte	Homo sapiens	benziodarone	High	40	micromolar	24	hour	003016080013.CEL
1451	hepatocyte	Homo sapiens	benziodarone	High	40	micromolar	24	hour	003016080014.CEL
1461	liver	Rattus norvegicus	benziodarone	Control	0	milligram per kilogram	24	hour	003017461022.CEL
1462	liver	Rattus norvegicus	benziodarone	Control	0	milligram per kilogram	24	hour	003017461023.CEL
1463	liver	Rattus norvegicus	benziodarone	Control	0	milligram per kilogram	24	hour	003017461024.CEL
1497	liver	Rattus norvegicus	benziodarone	High	300	milligram per kilogram	24	hour	003017462001.CEL
1498	liver	Rattus norvegicus	benziodarone	High	300	milligram per kilogram	24	hour	003017462002.CEL
1499	liver	Rattus norvegicus	benziodarone	High	300	milligram per kilogram	24	hour	003017462003.CEL
1504	hepatocyte	Rattus norvegicus	benziodarone	Control	0	micromolar	24	hour	003017365028.CEL
1505	hepatocyte	Rattus norvegicus	benziodarone	Control	0	micromolar	24	hour	003017365029.CEL
1522	hepatocyte	Rattus norvegicus	benziodarone	High	25	micromolar	24	hour	003017366004.CEL
1523	hepatocyte	Rattus norvegicus	benziodarone	High	25	micromolar	24	hour	003017366005.CEL
1528	hepatocyte	Homo sapiens	bromobenzene	Control	0	micromolar	24	hour	003016034028.CEL
1529	hepatocyte	Homo sapiens	bromobenzene	Control	0	micromolar	24	hour	003016034029.CEL
1546	hepatocyte	Homo sapiens	bromobenzene	High	200	micromolar	24	hour	003016035004.CEL
1547	hepatocyte	Homo sapiens	bromobenzene	High	200	micromolar	24	hour	003016035005.CEL
1557	liver	Rattus norvegicus	bromobenzene	Control	0	milligram per kilogram	24	hour	003017697014.CEL
1558	liver	Rattus norvegicus	bromobenzene	Control	0	milligram per kilogram	24	hour	003017697015.CEL
1559	liver	Rattus norvegicus	bromobenzene	Control	0	milligram per kilogram	24	hour	003017697016.CEL
1593	liver	Rattus norvegicus	bromobenzene	High	300	milligram per kilogram	24	hour	003017697023.CEL
1594	liver	Rattus norvegicus	bromobenzene	High	300	milligram per kilogram	24	hour	003017697024.CEL
1595	liver	Rattus norvegicus	bromobenzene	High	300	milligram per kilogram	24	hour	003017697025.CEL
1605	kidney	Rattus norvegicus	bromobenzene	Control	0	milligram per kilogram	24	hour	003017844018.CEL
1606	kidney	Rattus norvegicus	bromobenzene	Control	0	milligram per kilogram	24	hour	003017844019.CEL
1607	kidney	Rattus norvegicus	bromobenzene	Control	0	milligram per kilogram	24	hour	003017844020.CEL
1641	kidney	Rattus norvegicus	bromobenzene	High	300	milligram per kilogram	24	hour	003017844027.CEL
1642	kidney	Rattus norvegicus	bromobenzene	High	300	milligram per kilogram	24	hour	003017844028.CEL
1643	kidney	Rattus norvegicus	bromobenzene	High	300	milligram per kilogram	24	hour	003017844029.CEL
1648	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	24	hour	003017102017.CEL
1649	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	24	hour	003017102018.CEL
1666	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	24	hour	003017102023.CEL
1667	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	24	hour	003017102024.CEL
1677	liver	Rattus norvegicus	bromoethylamine	Control	0	milligram per kilogram	24	hour	003017488012.CEL
1678	liver	Rattus norvegicus	bromoethylamine	Control	0	milligram per kilogram	24	hour	003017488013.CEL
1679	liver	Rattus norvegicus	bromoethylamine	Control	0	milligram per kilogram	24	hour	003017488014.CEL
1713	liver	Rattus norvegicus	bromoethylamine	High	60	milligram per kilogram	24	hour	003017488021.CEL
1714	liver	Rattus norvegicus	bromoethylamine	High	60	milligram per kilogram	24	hour	003017488022.CEL
1715	liver	Rattus norvegicus	bromoethylamine	High	60	milligram per kilogram	24	hour	003017488023.CEL
1725	kidney	Rattus norvegicus	bromoethylamine	Control	0	milligram per kilogram	24	hour	003017478024.CEL
1726	kidney	Rattus norvegicus	bromoethylamine	Control	0	milligram per kilogram	24	hour	003017478025.CEL
1727	kidney	Rattus norvegicus	bromoethylamine	Control	0	milligram per kilogram	24	hour	003017478026.CEL
1761	kidney	Rattus norvegicus	bromoethylamine	High	60	milligram per kilogram	24	hour	003017479003.CEL
1762	kidney	Rattus norvegicus	bromoethylamine	High	60	milligram per kilogram	24	hour	003017479004.CEL
1763	kidney	Rattus norvegicus	bromoethylamine	High	60	milligram per kilogram	24	hour	003017479005.CEL
1768	hepatocyte	Rattus norvegicus	bromoethylamine	Control	0	micromolar	24	hour	003017389003.CEL
1769	hepatocyte	Rattus norvegicus	bromoethylamine	Control	0	micromolar	24	hour	003017389004.CEL
1786	hepatocyte	Rattus norvegicus	bromoethylamine	High	500	micromolar	24	hour	003017389009.CEL
1787	hepatocyte	Rattus norvegicus	bromoethylamine	High	500	micromolar	24	hour	003017408005.CEL
1790	hepatocyte	Homo sapiens	bucetin	Control	0	micromolar	24	hour	003016082020.CEL
1791	hepatocyte	Homo sapiens	bucetin	Control	0	micromolar	24	hour	003016082021.CEL
1798	hepatocyte	Homo sapiens	bucetin	High	300	micromolar	24	hour	003016082024.CEL
1799	hepatocyte	Homo sapiens	bucetin	High	300	micromolar	24	hour	003016082025.CEL
1809	liver	Rattus norvegicus	bucetin	Control	0	milligram per kilogram	24	hour	003017516028.CEL
1810	liver	Rattus norvegicus	bucetin	Control	0	milligram per kilogram	24	hour	003017516029.CEL
1811	liver	Rattus norvegicus	bucetin	Control	0	milligram per kilogram	24	hour	003017516030.CEL
1845	liver	Rattus norvegicus	bucetin	High	2000	milligram per kilogram	24	hour	003017517007.CEL
1846	liver	Rattus norvegicus	bucetin	High	2000	milligram per kilogram	24	hour	003017517008.CEL
1847	liver	Rattus norvegicus	bucetin	High	2000	milligram per kilogram	24	hour	003017517009.CEL
1857	kidney	Rattus norvegicus	bucetin	Control	0	milligram per kilogram	24	hour	003017529020.CEL
1858	kidney	Rattus norvegicus	bucetin	Control	0	milligram per kilogram	24	hour	003017529021.CEL
1859	kidney	Rattus norvegicus	bucetin	Control	0	milligram per kilogram	24	hour	003017529022.CEL
1893	kidney	Rattus norvegicus	bucetin	High	2000	milligram per kilogram	24	hour	003017529029.CEL
1894	kidney	Rattus norvegicus	bucetin	High	2000	milligram per kilogram	24	hour	003017529030.CEL
1895	kidney	Rattus norvegicus	bucetin	High	2000	milligram per kilogram	24	hour	003017530001.CEL
1900	hepatocyte	Rattus norvegicus	bucetin	Control	0	micromolar	24	hour	003017551005.CEL
1901	hepatocyte	Rattus norvegicus	bucetin	Control	0	micromolar	24	hour	003017551006.CEL
1918	hepatocyte	Rattus norvegicus	bucetin	High	300	micromolar	24	hour	003017551011.CEL
1919	hepatocyte	Rattus norvegicus	bucetin	High	300	micromolar	24	hour	003017551012.CEL
1922	hepatocyte	Homo sapiens	caffeine	Control	0	micromolar	24	hour	003016071027.CEL
1923	hepatocyte	Homo sapiens	caffeine	Control	0	micromolar	24	hour	003016071028.CEL
1930	hepatocyte	Homo sapiens	caffeine	High	7500	micromolar	24	hour	003016072001.CEL
1931	hepatocyte	Homo sapiens	caffeine	High	7500	micromolar	24	hour	003016072002.CEL
1941	liver	Rattus norvegicus	caffeine	Control	0	milligram per kilogram	24	hour	003017408018.CEL
1942	liver	Rattus norvegicus	caffeine	Control	0	milligram per kilogram	24	hour	003017408019.CEL
