Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	24	hour	003017400023.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	24	hour	003017400024.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	3	hour	003017401007.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	3	hour	003017401008.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	3	hour	003017401009.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	6	hour	003017401019.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	6	hour	003017401020.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	6	hour	003017401021.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	9	hour	003017400013.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	9	hour	003017400014.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	9	hour	003017400015.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	24	hour	003017400025.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	24	hour	003017400026.CEL
liver	Rattus norvegicus	acarbose	Low	100	milligram per kilogram	24	hour	003017400027.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	3	hour	003017401010.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	3	hour	003017401011.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	3	hour	003017401012.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	6	hour	003017401022.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	6	hour	003017401023.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	6	hour	003017401024.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	9	hour	003017400016.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	9	hour	003017400017.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	9	hour	003017400018.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	24	hour	003017400028.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	24	hour	003017400029.CEL
liver	Rattus norvegicus	acarbose	Middle	300	milligram per kilogram	24	hour	003017400030.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	3	hour	003017401013.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	3	hour	003017401014.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	3	hour	003017401015.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	6	hour	003017401025.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	6	hour	003017401026.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	6	hour	003017401027.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	9	hour	003017400019.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	9	hour	003017400020.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	9	hour	003017400021.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	24	hour	003017401001.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	24	hour	003017401002.CEL
liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	24	hour	003017402020.CEL
hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	2	hour	003017337003.CEL
hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	2	hour	003017337004.CEL
hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	8	hour	003017337011.CEL
hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	8	hour	003017337012.CEL
hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	24	hour	003017337019.CEL
hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	24	hour	003017337020.CEL
hepatocyte	Rattus norvegicus	acarbose	Low	400	micromolar	2	hour	003017337005.CEL
hepatocyte	Rattus norvegicus	acarbose	Low	400	micromolar	2	hour	003017337006.CEL
hepatocyte	Rattus norvegicus	acarbose	Low	400	micromolar	8	hour	003017337013.CEL
hepatocyte	Rattus norvegicus	acarbose	Low	400	micromolar	8	hour	003017337014.CEL
hepatocyte	Rattus norvegicus	acarbose	Low	400	micromolar	24	hour	003017337021.CEL
hepatocyte	Rattus norvegicus	acarbose	Low	400	micromolar	24	hour	003017337022.CEL
hepatocyte	Rattus norvegicus	acarbose	Middle	2000	micromolar	2	hour	003017337007.CEL
hepatocyte	Rattus norvegicus	acarbose	Middle	2000	micromolar	2	hour	003017337008.CEL
hepatocyte	Rattus norvegicus	acarbose	Middle	2000	micromolar	8	hour	003017337015.CEL
hepatocyte	Rattus norvegicus	acarbose	Middle	2000	micromolar	8	hour	003017337016.CEL
hepatocyte	Rattus norvegicus	acarbose	Middle	2000	micromolar	24	hour	003017337023.CEL
hepatocyte	Rattus norvegicus	acarbose	Middle	2000	micromolar	24	hour	003017337024.CEL
hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	2	hour	003017337009.CEL
hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	2	hour	003017337010.CEL
hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	8	hour	003017337017.CEL
hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	8	hour	003017337018.CEL
hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	24	hour	003017337025.CEL
hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	24	hour	003017337026.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Control	0	micromolar	8	hour	003016082026.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Control	0	micromolar	8	hour	003016082027.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Control	0	micromolar	24	hour	003016083002.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Control	0	micromolar	24	hour	003016083003.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Middle	10	micromolar	8	hour	003016082028.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Middle	10	micromolar	8	hour	003016082029.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Middle	10	micromolar	24	hour	003016083004.CEL
hepatocyte	Homo sapiens	acetamidofluorene	Middle	10	micromolar	24	hour	003016083005.CEL
hepatocyte	Homo sapiens	acetamidofluorene	High	50	micromolar	8	hour	003016082030.CEL
hepatocyte	Homo sapiens	acetamidofluorene	High	50	micromolar	8	hour	003016083001.CEL
hepatocyte	Homo sapiens	acetamidofluorene	High	50	micromolar	24	hour	003016083006.CEL
hepatocyte	Homo sapiens	acetamidofluorene	High	50	micromolar	24	hour	003016083007.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	3	hour	003017586001.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	3	hour	003017586002.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	3	hour	003017586003.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	6	hour	003017586013.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	6	hour	003017586014.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	6	hour	003017586015.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	9	hour	003017582026.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	9	hour	003017582027.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	9	hour	003017582028.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	24	hour	003017583008.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	24	hour	003017583009.CEL
liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	24	hour	003017583010.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	3	hour	003017586004.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	3	hour	003017586005.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	3	hour	003017586006.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	6	hour	003017586016.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	6	hour	003017586017.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	6	hour	003017586018.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	9	hour	003017582029.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	9	hour	003017582030.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	9	hour	003017583001.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	24	hour	003017583011.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	24	hour	003017583012.CEL
liver	Rattus norvegicus	acetamidofluorene	Low	100	milligram per kilogram	24	hour	003017583013.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	3	hour	003017586007.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	3	hour	003017586008.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	3	hour	003017586009.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	6	hour	003017586019.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	6	hour	003017586020.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	6	hour	003017586021.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	9	hour	003017583002.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	9	hour	003017583003.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	9	hour	003017583004.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	24	hour	003017583014.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	24	hour	003017583015.CEL
liver	Rattus norvegicus	acetamidofluorene	Middle	300	milligram per kilogram	24	hour	003017583016.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	3	hour	003017586010.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	3	hour	003017586011.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	3	hour	003017586012.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	6	hour	003017586022.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	6	hour	003017586023.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	6	hour	003017586024.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	9	hour	003017583005.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	9	hour	003017583006.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	9	hour	003017583007.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	24	hour	003017583017.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	24	hour	003017583018.CEL
liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	24	hour	003017583019.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	2	hour	003017362005.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	2	hour	003017362006.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	8	hour	003017362013.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	8	hour	003017362014.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	24	hour	003017362021.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	24	hour	003017362022.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Low	2	micromolar	2	hour	003017362007.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Low	2	micromolar	2	hour	003017362008.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Low	2	micromolar	8	hour	003017362015.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Low	2	micromolar	8	hour	003017362016.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Low	2	micromolar	24	hour	003017362023.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Low	2	micromolar	24	hour	003017362024.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Middle	10	micromolar	2	hour	003017362009.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Middle	10	micromolar	2	hour	003017362010.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Middle	10	micromolar	8	hour	003017362017.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Middle	10	micromolar	8	hour	003017362018.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Middle	10	micromolar	24	hour	003017362025.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	Middle	10	micromolar	24	hour	003017362026.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	2	hour	003017362011.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	2	hour	003017362012.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	8	hour	003017362019.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	8	hour	003017362020.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	24	hour	003017362027.CEL
hepatocyte	Rattus norvegicus	acetamidofluorene	High	50	micromolar	24	hour	003017362028.CEL
hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	2	hour	003016016001.CEL
hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	2	hour	003016016002.CEL
hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	8	hour	003016016009.CEL
hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	8	hour	003016016010.CEL
hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	24	hour	003016016017.CEL
hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	24	hour	003016016018.CEL
hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	2	hour	003016016003.CEL
hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	2	hour	003016016004.CEL
hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	8	hour	003016016011.CEL
hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	8	hour	003016016012.CEL
hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	24	hour	003016016019.CEL
hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	24	hour	003016016020.CEL
hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	2	hour	003016016005.CEL
hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	2	hour	003016016006.CEL
hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	8	hour	003016016013.CEL
hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	8	hour	003016016014.CEL
hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	24	hour	003016016021.CEL
hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	24	hour	003016016022.CEL
hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	2	hour	003016016007.CEL
hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	2	hour	003016016008.CEL
hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	8	hour	003016016015.CEL
hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	8	hour	003016016016.CEL
hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	24	hour	003016016023.CEL
hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	24	hour	003016016024.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017644018.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017644019.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017644020.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017644030.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017645001.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017645002.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017645012.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017645013.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017645014.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645024.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645025.CEL
liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645026.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017644021.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017644022.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017644023.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017645003.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017645004.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017645005.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017645015.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017645016.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017645017.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017645027.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017645028.CEL
liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017645029.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017644024.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017644025.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017644026.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017645006.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017645007.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017645008.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017645018.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017645019.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017645020.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017645030.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017646001.CEL
liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017646002.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017644027.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017644028.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017644029.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017645009.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017645010.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017645011.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017645021.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017645022.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017645023.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646003.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646004.CEL
liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646005.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017804015.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017804016.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017804017.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017808009.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017808010.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017808011.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017811019.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017811020.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017811021.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814021.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814022.CEL
kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814023.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017804018.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017804019.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017804020.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017808012.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017808013.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017808014.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017811022.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017811023.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017811024.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017814024.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017814025.CEL
kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017814026.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017804021.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017804022.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017804023.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808015.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808016.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808017.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811025.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811026.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017811027.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814027.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814028.CEL
kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017814029.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804024.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804025.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017804026.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808018.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808019.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017808020.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811028.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811029.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017811030.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017814030.CEL
